Composition, Total E eV, meV/atom above CH
Sn1 S11 Cl5 Li23,-155.687,69.4
Sn2 S11 Cl5 Li19,-145.223,76.4
Sn3 S15 Cl1 Li19,-153.087,76.5
Sn3 S11 Cl5 Li15,-134.564,89.3
Sn4 S11 Cl5 Li11,-123.613,102.4
 Sn5 S11 Cl5 Li7,-111.515,141.2
 Sn6 S11 Cl5 Li3,-99.737,134.5
Sn1 S10 Cl6 Li22,-151.961,48.4
Sn2 S10 Cl6 Li18,-141.198,62.3
Sn3 S10 Cl6 Li14,-130.190,83.8
Sn4 S10 Cl6 Li10,-118.616,109.0
 Sn5 S10 Cl6 Li6,-106.555,148.6
 Sn6 S10 Cl6 Li2,-94.384,115.1
Sn4 S15 Cl1 Li15,-142.450,87.2
 Sn1 S9 Cl7 Li21,-146.747,65.6
 Sn2 S9 Cl7 Li17,-136.316,71.8
 Sn3 S9 Cl7 Li13,-125.674,82.2
  Sn4 S9 Cl7 Li9,-114.115,99.0
  Sn5 S9 Cl7 Li5,-101.505,119.6
  Sn6 S9 Cl7 Li1,-88.815,101.8
 Sn1 S8 Cl8 Li20,-142.517,57.1
 Sn2 S8 Cl8 Li16,-132.795,41.9
 Sn3 S8 Cl8 Li12,-120.638,89.2
  Sn4 S8 Cl8 Li8,-108.150,140.5
Sn5 S15 Cl1 Li11,-131.548,91.6
  Sn5 S8 Cl8 Li4,-96.503,86.5
 Sn1 S7 Cl9 Li19,-138.507,42.0
 Sn2 S7 Cl9 Li15,-127.240,70.6
 Sn3 S7 Cl9 Li11,-115.517,99.5
  Sn4 S7 Cl9 Li7,-103.098,112.4
  Sn5 S7 Cl9 Li3,-90.469,93.6
Sn1 S6 Cl10 Li18,-133.765,47.0
Sn2 S6 Cl10 Li14,-122.755,67.7
Sn3 S6 Cl10 Li10,-110.288,114.3
 Sn4 S6 Cl10 Li6,-97.902,87.7
 Sn6 S15 Cl1 Li7,-120.879,88.8
 Sn5 S6 Cl10 Li2,-85.057,72.5
Sn1 S5 Cl11 Li17,-130.125,19.8
Sn2 S5 Cl11 Li13,-117.277,88.5
 Sn3 S5 Cl11 Li9,-105.262,85.3
 Sn4 S5 Cl11 Li5,-92.137,83.8
 Sn5 S5 Cl11 Li1,-79.090,74.7
Sn1 S4 Cl12 Li16,-125.443,22.6
Sn2 S4 Cl12 Li12,-112.234,96.2
 Sn3 S4 Cl12 Li8,-99.906,66.5
 Sn4 S4 Cl12 Li4,-86.614,69.5
 Sn7 S15 Cl1 Li3,-109.237,122.9
Sn1 S3 Cl13 Li15,-119.943,49.9
Sn2 S3 Cl13 Li11,-107.097,71.5
 Sn3 S3 Cl13 Li7,-93.916,70.5
 Sn4 S3 Cl13 Li3,-81.062,53.4
Sn1 S2 Cl14 Li14,-115.341,41.8
Sn2 S2 Cl14 Li10,-101.388,65.4
 Sn3 S2 Cl14 Li6,-88.448,54.0
 Sn4 S2 Cl14 Li2,-74.490,75.0
Sn1 S1 Cl15 Li13,-109.496,39.7
 Sn2 S1 Cl15 Li9,-95.915,50.1
Sn1 S14 Cl2 Li26,-169.379,67.8
 Sn3 S1 Cl15 Li5,-82.556,53.8
 Sn4 S1 Cl15 Li1,-68.976,44.5
Sn2 S14 Cl2 Li22,-158.896,74.6
  Sn2 S4 Cl4 Li4,-54.827,86.8
  Sn1 S3 Cl5 Li7,-62.171,18.1
  Sn2 S3 Cl5 Li3,-49.446,49.6
  Sn1 S2 Cl6 Li6,-56.439,74.7
  Sn2 S2 Cl6 Li2,-43.630,42.6
  Sn1 S1 Cl7 Li5,-50.857,53.7
  Sn2 S1 Cl7 Li1,-37.585,44.1
  Sn2 S7 Cl1 Li7,-69.718,43.0
 Sn1 S6 Cl2 Li10,-75.673,34.6
  Sn2 S6 Cl2 Li6,-65.844, 0.0
  Sn3 S6 Cl2 Li2,-53.445,83.0
  Sn1 S5 Cl3 Li9,-71.196,29.1
  Sn2 S5 Cl3 Li5,-60.040,60.2
  Sn3 S5 Cl3 Li1,-47.612,80.1
 Sn1 S3 Cl9 Li11,-91.840, 6.6
  Sn1 S4 Cl4 Li8,-67.110, 0.0
             Li1,-1.903, 0.0
          Li2 S1,-11.995, 0.0
              S1,-4.128, 0.0
         S8 Cl16,-64.908, 0.0
          S8 Cl8,-50.445, 0.0
          Li8 S4,-45.879,175.1
          Li2 S8,-39.564,132.6
            Cl16,-28.908, 0.0
         Li1 Cl1,-7.385, 0.0
             Li2,-3.794, 6.0
          Li8 S4,-47.981, 0.0
          Li8 S4,-47.981, 0.0
              S8,-33.022, 0.0
             S32,-132.088, 0.0
             S32,-132.088, 0.0
        Cl16 Sn4,-63.680, 0.0
        Cl16 Sn8,-84.304, 0.0
        Li13 Sn5,-51.195, 0.0
        Li14 Sn4,-48.751, 0.0
        Li14 Sn6,-57.588, 0.6
         Li1 Sn3,-13.911,41.6
     Li2 Sn2 Cl6,-35.845, 0.0
         Li3 Sn1,-11.084, 5.4
         Li3 Sn3,-19.217, 0.0
        Li4 Sn10,-48.657, 0.0
         Li5 Sn2,-19.977, 3.0
         Li6 Sn6,-38.301,11.0
     Li8 Sn4 S12,-101.547, 0.4
         S12 Sn8,-88.369, 5.4
          S1 Sn1,-8.795,36.5
          S2 Sn1,-13.252, 0.0
          S4 Sn2,-26.503, 0.1
          S4 Sn4,-35.471, 0.0
     Sn10 S8 Cl4,-90.262,79.8
             Sn2,-7.652, 0.0
          Sn2 S2,-17.536,49.8
         Sn4 Cl8,-42.152, 0.0
          Sn4 S8,-52.888, 9.8
      Li3 Sn6 S3,-50.682, 0.0
    Li16 Sn8 S24,-203.065, 1.0
    Li16 Sn4 S16,-150.106, 0.0
      Li1 Sn1 S2,-16.748,95.0
    Cl11 Li3 Sn2,-53.600,43.3
    Cl12 Li8 Sn1,-74.117,51.5
    Cl13 Li5 Sn2,-67.279,94.2
    Cl13 Li1 Sn3,-52.812,143.1
   Cl14 Li10 Sn1,-87.942,81.0
    Cl14 Li2 Sn3,-60.273,129.3
     Cl5 Li1 Sn1,-23.132,38.9
    Cl15 Li7 Sn2,-82.164,73.7
     Cl6 Li2 Sn1,-30.889, 0.0
     Cl7 Li3 Sn1,-37.921,32.0
     Cl8 Li4 Sn1,-45.386,21.0
     Cl9 Li5 Sn1,-52.508,35.7
     Cl9 Li1 Sn2,-39.063,21.8
    Cl10 Li6 Sn1,-60.048,22.3
    Cl11 Li7 Sn1,-66.995,43.1
      Sn5 S8 Cl4,-67.526,91.8
    S11 Cl1 Li23,-136.997,66.7
    S2 Cl10 Li14,-97.204,24.4
    Sn2 S12 Li16,-121.277,58.6
    S10 Cl2 Li22,-132.501,65.3
     Sn5 S12 Li4,-89.414,53.3
    Sn1 Cl12 Li8,-74.698,23.8
    Sn2 Cl12 Li4,-61.778, 0.0
    S1 Cl11 Li13,-93.122, 4.2
     S5 Cl7 Li17,-110.273,48.1
     S7 Cl5 Li19,-119.332,50.3
    Sn1 S12 Li20,-131.540,59.1
     Sn5 S4 Cl12,-73.688,42.6
    Sn3 S16 Li20,-156.784,96.8
     S7 Cl9 Li23,-147.862,65.8
     Sn7 S12 Cl4,-92.853,119.0
    Sn3 Cl16 Li4,-76.537,50.5
     Sn7 S16 Li4,-113.851,118.0
   Sn1 Cl16 Li12,-104.363,12.9
    Sn5 S16 Li12,-135.792,99.7
    S3 Cl13 Li19,-130.609,39.4
    S5 Cl11 Li21,-139.332,50.7
     Sn7 S10 Cl8,-95.843,103.0
      S1 Cl7 Li9,-63.334,20.9
     Sn1 Cl8 Li4,-45.443,16.6
      Sn3 S8 Li4,-63.920, 7.3
     S3 Cl5 Li11,-72.333,30.4
     Sn1 S8 Li12,-84.343,55.4
    S10 Cl6 Li26,-161.644,62.3
     S7 Cl1 Li15,-90.704,28.1
      Sn2 S8 Li8,-74.893, 8.9
     S2 Cl6 Li10,-67.717,32.3
      Sn3 S4 Cl4,-41.925,59.8
     S6 Cl2 Li14,-86.080,30.0
